"","V1","V2","V3","V4","V5"
"859","sw","sw","sw","s","s"
"860","s","s","s","s","sw"
"861","s","c","c","s","sw"
"862","s","s","sw","sw","sw"
"863","s","s","s","s","sw"
"864","sw","s","sw","sw","sw"
"865","sw","s","sw","sw","sw"
"866","sw","sw","sw","sw","sw"
"867","s","s","sw","sw","sw"
"868","s","s","s","s","s"
"869","c","s","s","s","sw"
"870","sw","s","s","s","s"
"871","s","s","c","s","s"
"872","sw","sw","s","sw","s"
"873","s","s","s","s","sw"
"874","s","sw","sw","s","s"
"875","s","s","sw","s","sw"
"876","sw","sw","s","sw","sw"
"877","sw","sw","sw","sw","sw"
"878","s","s","sw","s","sw"
"879","s","s","sw","sw","sw"
"880","sw","s","sw","sw","s"
"881","c","s","s","s","s"
"882","sw","s","sw","s","s"
"883","s","sw","sw","sw","s"
"884","s","s","sw","sw","sw"
"885","s","sw","s","s","c"
"886","c","s","sw","sw","sw"
"887","sw","s","s","s","sw"
"888","sw","sw","s","sw","sw"
"889","sw","s","sw","sw","sw"
"890","sw","sw","sw","sw","sw"
"891","sw","s","sw","sw","s"
"892","sw","sw","sw","sw","sw"
"893","sw","sw","sw","s","sw"
"894","s","sw","s","sw","s"
"895","sw","sw","sw","s","s"
"896","sw","sw","sw","sw","sw"
"897","sw","sw","s","sw","sw"
"898","sw","sw","sw","s","s"
"899","s","sw","sw","sw","sw"
"900","s","sw","sw","sw","sw"
"901","sw","sw","s","s","s"
"902","s","s","sw","s","sw"
"903","sw","sw","s","s","s"
"904","s","s","sw","sw","sw"
"905","s","s","sw","sw","sw"
"906","sw","s","sw","sw","s"
"907","sw","s","c","s","s"
"908","s","s","sw","s","s"
"909","s","s","s","sw","s"
"910","s","s","sw","sw","sw"
"911","s","s","s","s","s"
"912","sw","s","s","s","s"
"913","s","s","s","s","sw"
"914","sw","s","sw","s","s"
"915","c","c","s","sw","s"
"916","sw","s","sw","sw","sw"
"917","sw","sw","s","c","s"
"918","s","s","sw","s","sw"
"919","sw","s","sw","sw","sw"
"920","sw","sw","sw","sw","sw"
"921","s","s","s","s","s"
"922","sw","s","s","s","sw"
"923","sw","s","sw","s","sw"
"924","sw","sw","sw","s","s"
"925","s","sw","s","sw","sw"
"926","sw","s","s","sw","sw"
"927","sw","s","s","sw","s"
"928","sw","sw","sw","s","s"
"929","s","s","sw","s","s"
"930","sw","s","sw","s","s"
"931","s","c","c","s","s"
"932","c","s","sw","sw","s"
"933","sw","s","s","s","s"
"934","s","sw","sw","s","s"
"935","sw","s","s","s","s"
"936","s","sw","sw","sw","sw"
"937","sw","sw","s","s","c"
"938","c","c","s","s","s"
"939","s","s","s","s","sw"
"940","sw","sw","sw","sw","sw"
"941","s","sw","sw","sw","s"
"942","s","sw","s","c","s"
"943","s","sw","sw","sw","sw"
"944","sw","sw","sw","s","sw"
"945","sw","s","s","c","c"
"946","s","s","s","sw","sw"
"947","s","c","s","s","sw"
"948","s","c","s","sw","sw"
"949","sw","sw","s","s","sw"
"950","s","s","sw","s","sw"
"951","s","sw","s","c","s"
"952","sw","sw","sw","sw","sw"
"953","sw","sw","s","s","s"
"954","sw","s","s","sw","s"
"955","sw","s","sw","sw","sw"
"956","sw","sw","s","sw","sw"
"957","sw","sw","sw","s","s"
"958","sw","s","s","s","s"
"959","s","sw","sw","s","s"
"960","c","s","sw","sw","sw"
"961","sw","sw","sw","sw","sw"
"962","sw","sw","s","s","sw"
"963","sw","sw","sw","sw","s"
"964","s","sw","sw","sw","sw"
"965","sw","sw","s","s","s"
"966","c","s","s","sw","sw"
"967","sw","sw","sw","sw","sw"
"968","s","sw","sw","s","s"
"969","sw","sw","sw","sw","s"
"970","s","sw","s","s","s"
"971","sw","sw","sw","sw","sw"
"972","sw","s","sw","sw","sw"
"973","s","c","s","s","sw"
"974","sw","sw","sw","sw","s"
"975","sw","s","s","s","s"
"976","s","s","s","s","s"
"977","s","sw","sw","sw","sw"
"978","sw","sw","s","c","c"
"979","s","s","s","s","sw"
"980","s","s","s","s","sw"
"981","s","c","c","s","s"
"982","s","c","s","s","s"
"983","sw","s","s","s","s"
"984","sw","s","s","s","s"
"985","s","s","s","s","sw"
"986","sw","sw","s","sw","sw"
"987","sw","s","sw","s","s"
"988","sw","sw","sw","sw","sw"
"989","sw","sw","sw","s","sw"
"990","sw","sw","sw","s","sw"
"991","sw","s","sw","sw","s"
"992","sw","sw","s","s","sw"
"993","s","s","s","s","sw"
"994","sw","sw","sw","sw","s"
"995","s","c","c","s","sw"
"996","sw","s","s","s","c"
"997","s","s","sw","sw","sw"
"998","s","s","s","s","sw"
"999","sw","s","sw","sw","sw"
"1000","s","s","sw","sw","sw"
"1001","s","sw","s","s","s"
"1002","s","s","sw","sw","sw"
"1003","s","s","c","c","c"
"1004","s","s","c","s","c"
"1005","c","s","s","sw","sw"
"1006","sw","s","sw","s","s"
"1007","sw","s","s","s","sw"
"1008","s","s","sw","s","sw"
"1009","sw","s","c","s","sw"
"1010","s","s","s","sw","sw"
"1011","sw","s","c","s","s"
"1012","sw","s","s","s","s"
"1013","sw","sw","sw","sw","s"
"1014","s","s","sw","sw","s"
"1015","s","sw","s","s","s"
"1016","sw","s","sw","sw","sw"
"1017","sw","s","s","s","s"
"1018","s","s","s","s","s"
"1019","s","sw","sw","s","s"
"1020","sw","s","s","s","sw"
"1021","s","sw","sw","s","s"
"1022","s","sw","s","sw","sw"
"1023","sw","s","s","s","s"
"1024","sw","s","sw","sw","sw"
"1025","s","sw","sw","sw","sw"
"1026","s","c","s","sw","s"
"1027","s","s","s","sw","s"
"1028","s","c","s","s","sw"
"1029","sw","s","s","s","s"
"1030","sw","sw","sw","sw","s"
"1031","s","s","s","c","s"
"1032","sw","sw","sw","sw","s"
"1033","s","s","s","sw","sw"
"1034","s","sw","s","s","s"
"1035","s","s","s","s","s"
"1036","s","s","sw","sw","sw"
"1037","s","s","s","c","c"
"1038","c","s","c","c","c"
"1039","s","s","sw","sw","s"
"1040","s","sw","s","sw","s"
"1041","s","s","s","s","s"
"1042","sw","s","s","sw","s"
"1043","s","sw","sw","sw","sw"
"1044","s","sw","sw","s","s"
"1045","s","s","sw","sw","sw"
"1046","sw","s","sw","sw","s"
"1047","sw","s","s","s","s"
"1048","sw","sw","sw","sw","s"
"1049","s","sw","sw","s","sw"
"1050","sw","sw","s","s","sw"
"1051","sw","s","s","s","sw"
"1052","s","s","s","sw","sw"
"1053","sw","sw","sw","sw","sw"
"1054","sw","sw","s","s","c"
"1055","s","sw","sw","sw","sw"
"1056","s","s","s","s","s"
"1057","s","sw","s","s","s"
"1058","s","s","sw","sw","sw"
"1059","s","s","s","s","c"
"1060","s","s","sw","s","sw"
"1061","s","s","s","sw","sw"
"1062","s","s","sw","sw","sw"
"1063","sw","sw","sw","s","s"
"1064","sw","s","sw","sw","s"
"1065","sw","sw","sw","s","s"
"1066","s","s","s","s","s"
"1067","sw","s","sw","s","sw"
"1068","sw","sw","sw","sw","sw"
"1069","sw","sw","sw","sw","sw"
"1070","sw","sw","sw","sw","s"
"1071","s","s","s","s","sw"
"1072","sw","sw","s","c","s"
"1073","sw","sw","s","s","sw"
"1074","sw","s","sw","s","s"
"1075","s","s","s","s","sw"
"1076","sw","s","s","sw","s"
"1077","s","c","s","s","c"
"1078","s","sw","sw","s","sw"
"1079","sw","sw","sw","sw","sw"
"1080","sw","sw","sw","sw","sw"
"1081","sw","sw","s","s","sw"
"1082","sw","sw","sw","s","s"
"1083","sw","s","s","s","s"
"1084","s","s","s","c","s"
"1085","sw","sw","sw","sw","s"
"1086","s","s","s","s","sw"
"1087","s","sw","s","sw","s"
"1088","c","c","s","s","c"
"1089","s","sw","s","s","sw"
"1090","s","s","s","s","sw"
"1091","sw","sw","s","s","sw"
"1092","sw","sw","sw","sw","s"
"1093","s","sw","sw","s","s"
"1094","s","s","sw","s","sw"
"1095","sw","s","s","sw","s"
"1096","s","sw","sw","sw","sw"
"1097","s","s","sw","sw","sw"
"1098","s","sw","sw","s","s"
"1099","c","s","sw","sw","sw"
"1100","s","sw","sw","sw","sw"
"1101","sw","sw","sw","s","sw"
"1102","s","s","s","s","s"
"1103","s","s","sw","s","s"
"1104","sw","s","s","s","s"
"1105","s","s","sw","sw","s"
"1106","s","sw","sw","s","sw"
"1107","sw","s","c","c","c"
"1108","s","s","c","s","s"
"1109","s","s","s","s","s"
"1110","sw","sw","sw","sw","s"
"1111","sw","s","s","sw","sw"
"1112","sw","s","s","s","s"
"1113","sw","s","s","sw","sw"
"1114","sw","sw","sw","s","c"
"1115","c","s","s","s","c"
"1116","c","c","s","sw","s"
"1117","s","s","sw","sw","sw"
"1118","sw","sw","s","c","s"
"1119","s","s","s","s","s"
"1120","sw","sw","sw","sw","s"
"1121","s","s","s","s","sw"
"1122","s","sw","s","sw","sw"
"1123","s","s","s","sw","s"
"1124","s","sw","sw","s","s"
"1125","s","s","s","sw","s"
"1126","sw","sw","s","s","s"
"1127","sw","sw","sw","sw","sw"
"1128","sw","s","sw","sw","sw"
"1129","sw","sw","s","s","s"
"1130","s","s","sw","sw","s"
"1131","sw","sw","s","s","s"
"1132","sw","sw","s","s","s"
"1133","s","s","s","s","s"
"1134","s","s","s","sw","sw"
"1135","sw","s","s","sw","s"
"1136","c","s","sw","sw","sw"
"1137","sw","sw","sw","s","s"
"1138","s","s","sw","s","sw"
"1139","s","sw","s","s","s"
"1140","s","s","s","s","sw"
"1141","sw","s","sw","sw","s"
"1142","sw","sw","s","s","c"
"1143","s","s","sw","s","sw"
"1144","sw","sw","s","s","s"
"1145","s","sw","sw","sw","sw"
"1146","s","s","s","sw","sw"
"1147","sw","sw","s","s","c"
"1148","c","s","s","s","c"
"1149","s","s","s","sw","sw"
"1150","sw","sw","sw","sw","s"
"1151","sw","s","s","sw","s"
"1152","s","s","s","s","s"
"1153","sw","sw","s","sw","sw"
"1154","s","s","s","sw","sw"
"1155","s","s","sw","sw","s"
"1156","c","c","s","s","s"
"1157","s","s","c","s","sw"
"1158","sw","sw","sw","sw","s"
"1159","sw","s","s","s","s"
"1160","c","s","s","sw","sw"
"1161","s","s","s","sw","sw"
"1162","s","sw","sw","s","s"
"1163","s","c","s","sw","sw"
"1164","sw","sw","sw","sw","s"
"1165","s","sw","s","s","sw"
"1166","s","s","s","s","s"
"1167","s","sw","sw","sw","sw"
"1168","sw","sw","s","s","sw"
"1169","s","s","sw","sw","sw"
"1170","s","c","c","c","s"
"1171","s","s","sw","s","s"
"1172","s","s","s","c","c"
"1173","s","s","s","s","sw"
"1174","sw","s","s","s","s"
"1175","s","sw","s","s","sw"
"1176","sw","s","s","s","sw"
"1177","sw","sw","sw","sw","s"
"1178","c","s","sw","s","sw"
"1179","s","sw","sw","s","s"
"1180","sw","s","s","s","sw"
"1181","s","c","s","s","sw"
"1182","s","sw","sw","sw","s"
"1183","s","s","s","s","s"
"1184","sw","sw","s","s","sw"
"1185","s","sw","s","sw","s"
"1186","c","c","s","s","s"
"1187","s","s","s","sw","s"
"1188","s","s","s","s","c"
"1189","s","s","s","c","s"
"1190","s","s","sw","s","sw"
"1191","sw","sw","sw","sw","s"
"1192","sw","s","c","s","s"
"1193","s","c","s","c","s"
"1194","s","sw","sw","s","s"
"1195","c","s","s","sw","sw"
"1196","sw","s","sw","sw","s"
"1197","s","s","s","s","sw"
"1198","sw","sw","sw","sw","s"
"1199","s","s","s","s","sw"
"1200","s","sw","s","sw","sw"
"1201","sw","sw","sw","sw","s"
"1202","s","sw","s","s","s"
"1203","sw","s","sw","sw","s"
"1204","sw","sw","sw","s","c"
"1205","s","s","s","s","c"
"1206","c","s","s","s","c"
"1207","s","s","s","c","s"
"1208","sw","sw","sw","s","sw"
"1209","s","s","s","c","s"
"1210","sw","sw","sw","sw","sw"
"1211","sw","sw","sw","sw","sw"
"1212","sw","sw","s","c","s"
"1213","c","s","sw","sw","sw"
"1214","sw","sw","s","s","sw"
"1215","sw","sw","s","s","s"
"1216","sw","sw","sw","sw","sw"
"1217","s","sw","s","sw","sw"
"1218","s","s","sw","sw","sw"
"1219","sw","sw","sw","s","s"
"1220","s","s","s","s","s"
"1221","s","sw","sw","sw","sw"
"1222","sw","s","sw","s","s"
"1223","sw","s","sw","s","s"
"1224","s","s","s","s","s"
"1225","sw","sw","sw","sw","s"
"1226","s","s","c","s","s"
"1227","s","c","s","sw","s"
"1228","sw","s","sw","sw","sw"
"1229","s","sw","s","s","s"
"1230","sw","sw","s","sw","s"
"1231","s","s","sw","sw","s"
"1232","sw","sw","s","s","c"
"1233","c","s","c","s","sw"
"1234","s","s","s","s","sw"
"1235","s","s","sw","s","sw"
"1236","sw","sw","sw","s","s"
"1237","s","s","s","s","sw"
"1238","sw","sw","sw","s","sw"
"1239","sw","sw","s","s","s"
"1240","sw","sw","s","sw","s"
"1241","sw","sw","sw","s","s"
"1242","s","sw","sw","s","sw"
"1243","s","s","c","s","c"
"1244","s","sw","s","sw","s"
"1245","s","s","c","s","sw"
"1246","s","c","s","s","s"
"1247","sw","sw","sw","sw","s"
"1248","s","s","s","s","s"
"1249","s","sw","sw","s","sw"
"1250","sw","sw","s","s","sw"
"1251","s","s","s","s","s"
"1252","s","s","s","s","s"
"1253","s","sw","sw","sw","sw"
"1254","sw","sw","sw","sw","sw"
"1255","sw","sw","s","s","s"
"1256","s","s","s","sw","sw"
"1257","s","s","s","sw","sw"
"1258","sw","sw","sw","sw","s"
"1259","s","sw","s","s","s"
"1260","s","s","sw","s","s"
"1261","s","s","s","s","s"
"1262","s","s","s","s","s"
"1263","s","sw","sw","sw","s"
"1264","s","s","sw","sw","s"
"1265","sw","sw","s","sw","s"
"1266","s","sw","sw","sw","sw"
"1267","s","s","s","s","s"
"1268","sw","s","s","s","s"
"1269","sw","sw","sw","sw","sw"
"1270","s","sw","sw","sw","sw"
"1271","s","s","c","s","s"
"1272","sw","s","c","s","sw"
"1273","s","sw","s","c","s"
"1274","s","s","s","s","sw"
"1275","sw","sw","s","s","s"
"1276","c","s","s","s","s"
"1277","sw","sw","sw","sw","sw"
"1278","s","sw","sw","sw","sw"
"1279","sw","s","s","s","s"
"1280","s","sw","sw","sw","sw"
"1281","sw","sw","s","s","s"
"1282","c","s","s","s","sw"
"1283","sw","sw","sw","s","sw"
"1284","sw","sw","s","sw","s"
"1285","sw","sw","sw","s","s"
"1286","c","c","c","s","sw"
"1287","sw","s","sw","s","sw"
"1288","s","s","sw","sw","sw"
"1289","sw","s","sw","sw","s"
"1290","s","sw","sw","s","s"
"1291","s","c","c","s","sw"
"1292","sw","s","sw","sw","sw"
"1293","sw","s","c","s","sw"
"1294","sw","s","s","s","s"
"1295","s","s","sw","sw","sw"
"1296","s","sw","sw","s","s"
"1297","s","s","s","sw","s"
"1298","s","sw","sw","s","c"
"1299","s","sw","sw","s","sw"
"1300","sw","sw","s","s","sw"
"1301","s","s","s","sw","sw"
"1302","s","sw","sw","sw","s"
"1303","sw","s","s","sw","sw"
"1304","sw","s","s","s","s"
"1305","sw","s","s","sw","sw"
"1306","sw","s","s","sw","sw"
"1307","sw","s","sw","sw","s"
"1308","s","sw","sw","sw","sw"
"1309","s","s","sw","sw","sw"
"1310","sw","sw","sw","s","s"
"1311","sw","s","sw","sw","sw"
"1312","sw","sw","sw","sw","sw"
"1313","sw","sw","sw","sw","sw"
"1314","sw","sw","sw","s","c"
"1315","s","c","c","c","s"
"1316","sw","s","s","sw","sw"
"1317","sw","sw","s","s","s"
"1318","sw","sw","s","sw","s"
"1319","s","s","s","s","sw"
"1320","s","s","s","s","s"
"1321","sw","s","s","sw","s"
"1322","s","sw","sw","s","s"
"1323","s","sw","sw","s","s"
"1324","sw","s","sw","s","s"
"1325","sw","sw","sw","sw","sw"
"1326","s","s","s","s","sw"
"1327","sw","sw","sw","sw","s"
"1328","sw","s","sw","s","s"
"1329","sw","sw","sw","sw","sw"
"1330","s","sw","sw","s","sw"
"1331","s","c","s","s","sw"
"1332","s","sw","sw","s","sw"
"1333","sw","sw","sw","s","s"
"1334","sw","sw","s","s","s"
"1335","s","sw","sw","sw","s"
"1336","sw","s","s","s","s"
"1337","s","sw","sw","s","s"
"1338","sw","s","sw","sw","s"
"1339","s","sw","s","s","sw"
"1340","s","s","sw","s","sw"
"1341","s","sw","sw","s","sw"
"1342","sw","s","s","s","s"
"1343","sw","sw","s","s","sw"
"1344","sw","sw","sw","s","s"
"1345","s","s","sw","s","sw"
"1346","sw","s","s","s","sw"
"1347","sw","sw","sw","s","sw"
"1348","s","s","s","s","sw"
"1349","sw","sw","sw","sw","sw"
"1350","s","s","s","s","s"
"1351","s","sw","sw","s","s"
"1352","sw","sw","s","s","sw"
"1353","sw","sw","sw","sw","s"
"1354","s","s","s","s","sw"
"1355","s","sw","sw","sw","s"
"1356","s","sw","s","sw","sw"
"1357","s","s","sw","s","s"
"1358","sw","sw","sw","sw","sw"
"1359","sw","sw","s","sw","s"
"1360","sw","sw","sw","s","s"
"1361","s","sw","s","s","sw"
"1362","sw","sw","s","sw","sw"
"1363","sw","sw","sw","sw","sw"
"1364","sw","sw","s","s","sw"
"1365","sw","sw","s","sw","sw"
"1366","sw","sw","sw","sw","sw"
"1367","s","s","s","s","sw"
"1368","s","s","sw","sw","s"
"1369","s","s","s","sw","sw"
"1370","s","s","s","sw","s"
"1371","s","s","s","sw","sw"
"1372","sw","sw","s","sw","s"
"1373","s","c","s","s","s"
"1374","sw","s","s","s","s"
"1375","c","s","s","sw","sw"
"1376","sw","s","sw","sw","sw"
"1377","sw","sw","sw","s","s"
"1378","sw","s","s","s","sw"
"1379","sw","sw","sw","s","c"
"1380","s","s","s","s","sw"
"1381","sw","s","sw","s","s"
"1382","sw","sw","s","s","s"
"1383","sw","s","s","c","c"
"1384","s","sw","s","c","s"
"1385","s","sw","sw","sw","sw"
"1386","s","sw","sw","s","c"
"1387","c","s","s","s","s"
"1388","sw","sw","sw","sw","sw"
"1389","sw","sw","sw","sw","sw"
"1390","s","s","s","s","s"
"1391","s","sw","sw","sw","sw"
"1392","sw","sw","s","s","s"
"1393","s","s","s","s","s"
"1394","sw","sw","sw","sw","s"
"1395","s","s","s","s","sw"
"1396","s","c","s","sw","sw"
"1397","s","s","s","sw","sw"
"1398","s","sw","sw","sw","sw"
"1399","sw","sw","s","s","s"
"1400","s","s","c","s","c"
"1401","s","s","sw","sw","s"
"1402","s","s","sw","s","s"
"1403","sw","s","c","s","s"
"1404","s","c","c","c","s"
"1405","sw","sw","sw","sw","s"
"1406","s","sw","sw","sw","s"
"1407","s","sw","sw","s","sw"
"1408","sw","s","s","sw","sw"
"1409","sw","s","s","s","sw"
"1410","s","s","s","sw","sw"
"1411","s","sw","sw","sw","sw"
"1412","sw","sw","s","s","c"
"1413","s","s","s","sw","sw"
"1414","sw","s","c","s","s"
"1415","s","s","sw","s","s"
"1416","s","sw","sw","sw","sw"
"1417","sw","s","sw","sw","sw"
"1418","sw","sw","sw","sw","s"
"1419","s","c","s","c","s"
"1420","sw","s","s","s","sw"
"1421","s","sw","s","s","s"
"1422","s","s","s","sw","sw"
"1423","sw","sw","sw","sw","sw"
"1424","sw","sw","sw","sw","sw"
"1425","sw","sw","sw","s","s"
"1426","s","sw","sw","sw","s"
"1427","s","s","sw","s","c"
"1428","c","s","sw","sw","sw"
"1429","s","s","s","sw","s"
"1430","sw","s","c","s","c"
"1431","s","s","s","s","s"
"1432","sw","sw","s","s","s"
"1433","s","s","sw","s","s"
"1434","c","s","sw","sw","sw"
"1435","sw","sw","sw","s","sw"
"1436","s","s","s","s","s"
"1437","s","sw","s","sw","sw"
"1438","sw","sw","s","c","c"
"1439","s","s","sw","s","s"
"1440","sw","s","sw","sw","sw"
"1441","sw","s","c","s","sw"
"1442","sw","s","sw","sw","s"
"1443","sw","sw","sw","sw","s"
"1444","c","s","s","sw","sw"
"1445","sw","s","sw","sw","s"
"1446","s","s","s","s","s"
"1447","sw","s","s","sw","s"
"1448","sw","s","s","s","s"
"1449","s","s","s","s","s"
"1450","sw","sw","s","s","s"
"1451","sw","s","sw","sw","s"
"1452","s","s","s","sw","s"
"1453","sw","s","s","s","s"
"1454","sw","sw","sw","sw","sw"
"1455","s","sw","sw","s","sw"
"1456","sw","sw","s","s","s"
"1457","s","sw","s","s","sw"
"1458","s","s","c","s","s"
"1459","sw","s","s","s","s"
"1460","s","s","s","s","sw"
"1461","sw","s","c","s","s"
"1462","s","s","s","s","s"
"1463","sw","sw","s","sw","s"
"1464","s","sw","s","s","s"
"1465","s","s","s","sw","sw"
"1466","s","s","sw","sw","s"
"1467","c","s","c","c","c"
"1468","s","sw","sw","sw","sw"
"1469","s","s","sw","s","sw"
"1470","s","sw","s","s","sw"
"1471","sw","sw","s","s","sw"
"1472","s","s","s","sw","sw"
"1473","sw","sw","sw","sw","sw"
"1474","sw","s","c","s","sw"
"1475","sw","sw","s","s","s"
"1476","sw","sw","sw","sw","sw"
"1477","s","s","sw","s","s"
"1478","s","sw","sw","s","c"
"1479","s","sw","s","sw","sw"
"1480","sw","sw","s","s","s"
"1481","s","s","s","sw","sw"
"1482","sw","sw","sw","s","sw"
"1483","sw","sw","sw","sw","sw"
"1484","sw","sw","sw","sw","s"
"1485","s","sw","s","s","c"
"1486","c","s","s","sw","sw"
"1487","sw","sw","s","sw","sw"
"1488","s","sw","sw","sw","sw"
"1489","s","s","sw","s","s"
"1490","s","sw","s","c","s"
"1491","c","s","c","s","s"
"1492","s","sw","sw","s","s"
"1493","sw","sw","sw","sw","s"
"1494","s","sw","s","s","c"
"1495","c","c","s","s","sw"
"1496","sw","s","s","sw","s"
"1497","sw","sw","sw","sw","s"
"1498","s","c","s","s","s"
"1499","s","sw","sw","sw","sw"
"1500","s","s","sw","s","s"
"1501","sw","s","sw","s","sw"
"1502","sw","sw","sw","sw","s"
"1503","c","s","s","s","s"
"1504","c","c","s","s","s"
"1505","c","c","s","s","s"
"1506","s","sw","sw","s","s"
"1507","sw","sw","s","sw","s"
"1508","sw","sw","sw","sw","sw"
"1509","s","s","sw","sw","sw"
"1510","sw","sw","s","sw","sw"
"1511","sw","s","sw","sw","sw"
"1512","sw","s","sw","sw","sw"
"1513","sw","sw","s","s","s"
"1514","sw","sw","sw","s","s"
"1515","s","sw","sw","sw","s"
"1516","s","s","sw","sw","sw"
"1517","sw","sw","sw","s","s"
"1518","s","sw","sw","s","s"
"1519","s","s","sw","sw","sw"
"1520","sw","s","sw","sw","s"
"1521","s","sw","s","sw","sw"
"1522","sw","s","s","sw","s"
"1523","s","s","s","sw","sw"
"1524","sw","s","sw","s","s"
"1525","c","s","s","sw","s"
"1526","s","sw","s","sw","sw"
"1527","sw","sw","s","s","sw"
"1528","sw","s","s","s","sw"
"1529","sw","sw","sw","sw","s"
"1530","sw","sw","sw","s","sw"
"1531","s","c","s","sw","sw"
"1532","s","sw","sw","sw","sw"
"1533","sw","s","s","s","sw"
"1534","sw","sw","s","s","s"
"1535","s","sw","sw","sw","sw"
"1536","s","s","s","s","sw"
"1537","sw","sw","sw","sw","sw"
"1538","s","s","s","s","s"
"1539","s","c","c","c","c"
"1540","c","s","s","sw","sw"
"1541","sw","s","s","sw","sw"
"1542","s","s","sw","sw","sw"
"1543","sw","s","sw","sw","sw"
"1544","s","s","sw","sw","sw"
"1545","sw","sw","sw","sw","sw"
"1546","sw","sw","s","s","s"
"1547","s","s","s","s","sw"
"1548","s","s","s","s","sw"
"1549","sw","sw","s","c","s"
"1550","sw","sw","s","c","c"
"1551","s","s","sw","sw","s"
"1552","sw","s","s","s","s"
"1553","c","s","s","sw","sw"
"1554","sw","s","sw","s","s"
"1555","sw","s","s","s","s"
"1556","s","c","s","s","sw"
"1557","s","s","s","s","s"
"1558","sw","sw","s","s","sw"
"1559","sw","s","s","s","sw"
"1560","s","sw","sw","sw","sw"
"1561","sw","sw","s","sw","sw"
"1562","s","s","s","s","sw"
"1563","s","s","sw","s","s"
"1564","sw","s","sw","sw","sw"
"1565","sw","s","sw","s","s"
"1566","s","sw","sw","sw","s"
"1567","s","s","s","s","s"
"1568","s","s","sw","s","s"
"1569","sw","sw","sw","s","sw"
"1570","sw","sw","s","sw","s"
"1571","sw","s","s","sw","s"
"1572","sw","sw","sw","sw","s"
"1573","sw","s","sw","s","s"
"1574","s","s","s","s","sw"
"1575","s","sw","s","s","sw"
"1576","sw","s","c","s","s"
"1577","s","sw","sw","s","s"
"1578","c","c","s","sw","sw"
"1579","sw","s","sw","s","s"
"1580","sw","s","sw","s","sw"
"1581","sw","sw","sw","s","s"
"1582","s","s","s","s","sw"
"1583","s","s","s","sw","sw"
"1584","s","s","c","s","c"
"1585","c","s","s","sw","sw"
"1586","s","s","sw","s","s"
"1587","sw","sw","s","c","s"
"1588","c","s","s","sw","sw"
"1589","s","s","s","s","sw"
"1590","sw","sw","sw","s","c"
"1591","c","s","s","sw","sw"
"1592","s","s","s","s","s"
"1593","s","s","s","sw","sw"
"1594","sw","s","s","s","s"
"1595","s","s","s","s","sw"
"1596","s","s","sw","sw","sw"
"1597","s","sw","s","s","s"
"1598","s","s","sw","sw","sw"
"1599","sw","s","s","sw","sw"
"1600","sw","s","sw","sw","sw"
"1601","sw","s","s","sw","s"
"1602","s","s","s","sw","s"
"1603","sw","sw","sw","s","s"
"1604","s","s","sw","sw","s"
"1605","c","c","c","s","s"
"1606","s","s","s","sw","s"
"1607","c","s","sw","sw","s"
"1608","sw","sw","sw","s","c"
"1609","c","s","s","sw","sw"
"1610","sw","sw","sw","s","c"
"1611","s","sw","s","s","s"
"1612","s","sw","sw","s","s"
"1613","s","sw","sw","sw","s"
"1614","s","s","s","s","s"
"1615","s","sw","s","s","s"
"1616","s","s","c","s","c"
"1617","s","s","s","sw","s"
"1618","sw","sw","sw","s","s"
"1619","s","sw","s","s","s"
"1620","s","s","s","c","s"
"1621","c","s","s","s","s"
"1622","sw","sw","sw","s","s"
"1623","sw","sw","sw","sw","sw"
"1624","sw","sw","s","sw","s"
"1625","s","s","s","sw","s"
"1626","s","c","s","sw","sw"
"1627","sw","sw","s","s","s"
"1628","sw","sw","sw","sw","sw"
"1629","sw","sw","s","sw","s"
"1630","sw","sw","s","sw","s"
"1631","sw","sw","s","s","s"
"1632","s","s","sw","s","s"
"1633","s","s","s","c","s"
"1634","sw","s","s","s","s"
"1635","s","s","c","c","s"
"1636","s","s","sw","s","s"
"1637","sw","sw","s","sw","s"
"1638","s","s","sw","sw","s"
"1639","sw","sw","sw","sw","sw"
"1640","sw","s","s","sw","s"
"1641","s","c","c","s","s"
"1642","sw","sw","sw","sw","sw"
"1643","sw","s","sw","sw","sw"
"1644","sw","sw","sw","sw","sw"
"1645","sw","sw","s","sw","sw"
"1646","sw","sw","s","s","s"
"1647","s","s","c","s","s"
"1648","s","s","s","sw","sw"
"1649","s","s","s","sw","s"
"1650","s","s","s","sw","sw"
"1651","s","s","s","s","s"
"1652","sw","s","c","s","sw"
"1653","sw","sw","s","sw","sw"
"1654","s","s","s","sw","s"
"1655","sw","s","s","s","c"
"1656","s","s","sw","s","s"
"1657","sw","sw","sw","sw","s"
"1658","sw","sw","sw","sw","sw"
"1659","sw","sw","s","s","sw"
"1660","sw","s","c","s","s"
"1661","c","s","c","s","s"
"1662","s","s","sw","sw","sw"
"1663","s","sw","sw","sw","s"
"1664","s","s","sw","sw","sw"
"1665","s","s","s","s","s"
"1666","s","s","s","s","s"
"1667","s","s","s","s","sw"
"1668","s","sw","s","c","s"
"1669","s","s","s","s","s"
"1670","sw","s","sw","sw","s"
"1671","sw","s","s","sw","sw"
"1672","s","s","s","s","sw"
"1673","sw","sw","s","sw","s"
"1674","sw","sw","s","s","s"
"1675","s","s","s","s","s"
"1676","s","s","s","s","sw"
"1677","sw","sw","sw","s","s"
"1678","sw","s","s","sw","s"
